Lat,Long,Country
33,66,Afghanistan
41,20,Albania
28,3,Algeria
-14.33,-170,American Samoa
42.5,1.5,Andorra
-12.5,18.5,Angola
18.22,-63.05,Anguilla
-82.86,135,Antarctica
17.05,-61.8,Antigua and Barbuda
-34,-64,Argentina
40,45,Armenia
12.5,-69.97,Aruba
-15.95,-5.7,Ascension
-12.42,123.33,Ashmore and Cartier Islands
-25,135,Australia
47.33,13.33,Austria
40.5,47.5,Azerbaijan
24,-76,Bahamas
26,50.5,Bahrain
24,90,Bangladesh
13.17,-59.53,Barbados
-21.42,39.7,Bassas da India
53,28,Belarus
50.83,4,Belgium
17.25,-88.75,Belize
9.5,2.25,Benin
32.33,-64.75,Bermuda
27.5,90.5,Bhutan
-17,-65,Bolivia
12.2,-68.25,Bonaire
44.25,17.83,Bosnia and Herzegovina
-22,24,Botswana
-54.43,3.4,Bouvet Island
-10,-55,Brazil
-6,72,British Indian Ocean Territory
18.5,-64.5,British Virgin Islands
4.5,114.67,Brunei
43,25,Bulgaria
13,-2,Burkina Faso
22,98,Burma
-3.5,30,Burundi
13,105,Cambodia
6,12,Cameroon
60,-96,Canada
16,-24,Cape Verde
19.5,-80.67,Cayman Islands
7,21,Central African Republic
15,19,Chad
-30,-71,Chile
35,105,China
-10.5,105.67,Christmas Island
10.28,-109.22,Clipperton Island
-12,96.83,Cocos (Keeling) Islands
4,-72,Colombia
-12.17,44.25,Comoros
-16.08,-161.58,Cook Islands
-17.5,151,Coral Sea Islands
10,-84,Costa Rica
8,-5,Cote d'Ivoire
45.17,15.5,Croatia
22,-79.5,Cuba
12.17,-69,Cura‡ao
35,33,Cyprus
49.75,15,Czech Republic
0,25,Democratic Republic of the Congo
56,10,Denmark
11.5,42.5,Djibouti
15.5,-61.33,Dominica
19,-70.67,Dominican Republic
-2,-77.5,Ecuador
27,30,Egypt
13.83,-88.92,El Salvador
2,10,Equatorial Guinea
15,39,Eritrea
59,26,Estonia
8,38,Ethiopia
-22.33,40.37,Europa Island
-51.75,-59.17,Falkland Islands
62,-7,Faroe Islands
5,152,Federated States of Micronesia
-18,178,Fiji
64,26,Finland
46,2,France
4,-53,French Guiana
-15,-140,French Polynesia
-43,67,French Southern and Antarctic Lands
-1,11.75,Gabon
13.5,-15.5,Gambia
31.43,34.37,Gaza Strip
42,43.5,Georgia
51.5,10.5,Germany
8,-2,Ghana
36.13,-5.35,Gibraltar
-11.5,47.33,Glorioso Islands
39,22,Greece
72,-40,Greenland
12.12,-61.67,Grenada
16.25,-61.58,Guadeloupe
13.44,144.74,Guam
15.5,-90.25,Guatemala
49.58,-2.33,Guernsey
11,-10,Guinea
12,-15,Guinea-Bissau
5,-59,Guyana
19,-72.42,Haiti
-53,73,Heard Island and McDonald Islands
15,-86.5,Honduras
22.25,114.17,Hong Kong
47,20,Hungary
65,-18,Iceland
20,77,India
-5,120,Indonesia
32,53,Iran
33,44,Iraq
53,-8,Ireland
54.25,-4.5,Isle of Man
31.5,34.75,Israel
42.83,12.83,Italy
18.25,-77.5,Jamaica
36,138,Japan
49.22,-2.12,Jersey
31,36,Jordan
-17.06,42.72,Juan de Nova Island
48,68,Kazakhstan
1,38,Kenya
-5,-170,Kiribati
42.58,21,Kosovo
29.5,47.75,Kuwait
41,75,Kyrgyzstan
18,105,Laos
57,25,Latvia
33.83,35.83,Lebanon
-29.5,28.25,Lesotho
6.5,-9.5,Liberia
25,17,Libya
47.17,9.53,Liechtenstein
56,24,Lithuania
49.75,6.17,Luxembourg
22.16,113.56,Macau
41.83,22,Macedonia
-20,47,Madagascar
-13.5,34,Malawi
2.5,112.5,Malaysia
3.2,73,Maldives
17,-4,Mali
35.92,14.43,Malta
10,167,Marshall Islands
14.67,-61,Martinique
20,-12,Mauritania
-20.3,57.58,Mauritius
-12.83,45.17,Mayotte
23,-102,Mexico
47,29,Moldova
43.73,7.4,Monaco
46,105,Mongolia
42.5,19.3,Montenegro
16.75,-62.2,Montserrat
32,-5,Morocco
-18.25,35,Mozambique
-22,17,Namibia
-0.53,166.92,Nauru
28,84,Nepal
52.5,5.75,Netherlands
-21.5,165.5,New Caledonia
-42,174,New Zealand
13,-85,Nicaragua
16,8,Niger
10,8,Nigeria
-19.03,-169.87,Niue
-29.03,167.95,Norfolk Island
40,127,North Korea
16,146,Northern Mariana Islands
62,10,Norway
21,57,Oman
30,70,Pakistan
6,134,Palau
9,-80,Panama
-6,147,Papua New Guinea
31.95,35.23,Palestine
-22.99,-58,Paraguay
-10,-76,Peru
13,122,Philippines
-25.07,-130.1,Pitcairn Islands
52,20,Poland
39.5,-8,Portugal
18.25,-66.5,Puerto Rico
25.5,51.25,Qatar
-1,15,Republic of the Congo
-21.1,55.6,Reunion
46,25,Romania
60,100,Russia
-2,30,Rwanda
17.9,-62.83,Saint Barthelemy
17.33,-62.75,Saint Kitts and Nevis
13.88,-60.97,Saint Lucia
18.08,-63.06,Saint Martin
46.83,-56.33,Saint Pierre and Miquelon
13.08,-61.2,Saint Vincent and the Grenadines
