"OwnerUserId","PostTypeId","Year","ViewCount","Score","Country","Reputation","Views","UpVotes","DownVotes","Lat","Long"
"4","1",2012,13149,13,"Turkey",4838,1545,150,17,39.06,34.91
"4","1",2012,1080,0,"Turkey",4838,1545,150,17,39.06,34.91
"4","1",2012,928,13,"Turkey",4838,1545,150,17,39.06,34.91
"4","1",2012,128396,30,"Turkey",4838,1545,150,17,39.06,34.91
"4","1",2012,3882,12,"Turkey",4838,1545,150,17,39.06,34.91
"4","1",2012,46250,23,"Turkey",4838,1545,150,17,39.06,34.91
"4","2",2012,NA,11,"Turkey",4838,1545,150,17,39.06,34.91
"4","1",2012,9695,16,"Turkey",4838,1545,150,17,39.06,34.91
"15","2",2012,NA,2,"Pakistan",128,90,7,1,30,70
"18","2",2012,NA,20,"United States",12112,2419,1330,116,39.83,-98.58
"18","1",2012,7895,21,"United States",12112,2419,1330,116,39.83,-98.58
"22","1",2012,1110,15,"Canada",9235,6148,1355,8862,60,-96
"18","2",2012,NA,8,"United States",12112,2419,1330,116,39.83,-98.58
"18","2",2012,NA,7,"United States",12112,2419,1330,116,39.83,-98.58
"32","1",2012,11624,15,"Germany",1119,536,69,5,51.5,10.5
"23","1",2012,5990,15,"Egypt",282,278,19,3,27,30
"18","2",2012,NA,8,"United States",12112,2419,1330,116,39.83,-98.58
"24","1",2012,4560,18,"United States",1879,644,287,34,39.83,-98.58
"26","2",2012,NA,-2,"Pakistan",188,52,2,0,30,70
"24","1",2012,710,18,"United States",1879,644,287,34,39.83,-98.58
"18","2",2012,NA,5,"United States",12112,2419,1330,116,39.83,-98.58
"4","2",2012,NA,2,"Turkey",4838,1545,150,17,39.06,34.91
"32","1",2012,4363,14,"Germany",1119,536,69,5,51.5,10.5
"18","2",2012,NA,13,"United States",12112,2419,1330,116,39.83,-98.58
"18","1",2012,252,5,"United States",12112,2419,1330,116,39.83,-98.58
"41","2",2012,NA,0,"United States",1115,473,147,61,39.83,-98.58
"4","2",2012,NA,60,"Turkey",4838,1545,150,17,39.06,34.91
"18","2",2012,NA,12,"United States",12112,2419,1330,116,39.83,-98.58
"22","2",2012,NA,10,"Canada",9235,6148,1355,8862,60,-96
"22","1",2012,1623,33,"Canada",9235,6148,1355,8862,60,-96
"18","2",2012,NA,15,"United States",12112,2419,1330,116,39.83,-98.58
"42","2",2012,NA,10,"Canada",3241,850,128,36,60,-96
"4","2",2012,NA,4,"Turkey",4838,1545,150,17,39.06,34.91
"42","2",2012,NA,12,"Canada",3241,850,128,36,60,-96
"44","1",2012,118,4,"Turkey",2954,1063,370,116,39.06,34.91
"45","2",2012,NA,16,"Palestine",3604,1262,271,27,31.95,35.23
"45","2",2012,NA,6,"Palestine",3604,1262,271,27,31.95,35.23
"44","1",2012,16098,10,"Turkey",2954,1063,370,116,39.06,34.91
"45","2",2012,NA,16,"Palestine",3604,1262,271,27,31.95,35.23
"46","1",2012,1329,14,"Pakistan",380,105,11,3,30,70
"50","1",2012,4948,28,"United States",262,57,2,0,39.83,-98.58
"53","2",2012,NA,0,"Bangladesh",625,174,32,0,24,90
"50","1",2012,11014,3,"United States",262,57,2,0,39.83,-98.58
"56","1",2012,31976,16,"India",700,419,33,2,20,77
"42","2",2012,NA,2,"Canada",3241,850,128,36,60,-96
"51","1",2012,11435,17,"Pakistan",426,138,35,0,30,70
"61","2",2012,NA,1,"India",2895,1371,87,36,20,77
"61","2",2012,NA,12,"India",2895,1371,87,36,20,77
"42","2",2012,NA,4,"Canada",3241,850,128,36,60,-96
"22","2",2012,NA,23,"Canada",9235,6148,1355,8862,60,-96
"56","1",2012,12200,8,"India",700,419,33,2,20,77
"56","1",2012,3485,2,"India",700,419,33,2,20,77
"42","2",2012,NA,2,"Canada",3241,850,128,36,60,-96
