"ave_sentiment","Score","Title"
-0.241209075662211,34,"What are the disadvantages of first-past-the-post electoral systems?"
-0.21650635094611,24,"Why can't voting be fair if there are more than two alternatives?"
-0.205548047910945,40,"What are the advantages/disadvantages of a mandatory voting system?"
0.266666666666667,75,"What is meant by the ""left"" and the ""right""?"
0.111803398874989,12,"How do instant runoffs work?"
0.282842712474619,21,"How does direct democracy compare to representative democracy?"
-0.146993683051833,18,"Why is the French democracy not using proportional representation for election of the assembly?"
-0.302371578407382,18,"What are the consequences of recalling ambassadors?"
0,66,"What challenges remain for online voting?"
0.102062072615966,13,"How does Single Transferable Vote work?"
0.117851130197758,29,"Is it possible to implement an electronic voting system which is as secure as pen-and-paper voting?"
0.138675049056307,3,"What are some examples of ""checks and balances"" outside of the United States?"
0.333333333333333,16,"How can a small poll accurately model an election?"
-0.21650635094611,27,"Who was the last US President to oversee a reduction in debt?"
0,8,"Why is the UK Administration not separate from the house?"
0,22,"Why does the U.S.A. have separate legislative houses?"
0.0668153104781061,12,"In the United States, what is the difference between a registered and unregistered lobbyist?"
0.59385744641847,16,"What are the practical implications of Palestine's new observer-state status in the United Nations?"
-0.0166666666666667,15,"What are the advantages/disadvantages of fixed-term elections?"
0.377964473009227,22,"Has range voting been successfully implemented anywhere?"
0.1,22,"What reforms have successfully avoided the issues of Gerrymandering?"
0.318952612829507,1,"Which countries outside of the U.S. already have Freedom of Information laws?"
-0.0833333333333333,2,"Does the Corporate tax rate negatively affect the economy?"
-0.256284642891099,4,"How does a mandatory voting system affect the outcome of elections?"
1.05502996890805,11,"How does the Patient Protection and Affordable Care Act (Obamacare) differ from Massachusetts health care reform (Romneycare)?"
0.166666666666667,20,"What is the ""Fiscal Cliff"" in the United States?"
0.400891862868637,11,"What inhibits a winning candidate from doing exactly the opposite of what he promised?"
0.25,2,"Does a quorum to enter parliament guarantee government stability?"
-0.150755672288882,14,"Why and how is the Vice President elected in U.S?"
-0.204124145231932,28,"Differences between parliamentary and presidential government"
0.0693375245281536,5,"Why are those serving in armed forces prevented from voting in Hong Kong?"
0.150755672288882,22,"Why do the supreme court justices have a life term period?"
0.0668153104781061,30,"In the Electoral College, why can electors vote in contrast to their pledge ('faithless')?"
0.121267812518166,12,"What criteria does a US Presidential candidate need to meet in order to appear on the ballot?"
-0.0474341649025257,7,"In models of income distribution, is inequality a natural outcome?"
0,34,"What are the key factors for the rise of nationalism in Europe?"
-0.208012573584461,9,"What are typical consequences for a political party of losing an independence referendum?"
0.0721687836487032,6,"How does early voting work, and what are the pros and cons?"
0,6,"Why are political party memberships public in the US?"
