"Score","PostTypeId","ave_sentiment"
34,"1",0.111183267393284
24,"1",0.00874951908404962
5,"2",0.325205609248453
41,"2",-0.0525793639413083
40,"1",-0.28736848324284
75,"1",0.218720546884731
12,"1",0.0578157198267843
21,"1",0.0903892225718727
75,"2",0.0605110032654014
18,"1",0.0130495959915458
18,"1",-0.0964279447672762
66,"1",0.141245075141125
10,"2",0.072232735981216
35,"2",0.0902301951880632
13,"1",0.0578157198267843
14,"2",0.0610043856806008
35,"2",0.188824422263688
29,"1",-0.0672616170527097
12,"2",-0.0279041049344346
3,"1",-0.0457198664751563
3,"2",0.0522533662639893
19,"2",0.0789719042809865
6,"2",0.211049212794141
16,"1",0.015199711133826
27,"1",-0.259433025793763
8,"1",-0.0400618435923846
22,"1",0
21,"2",0.133031481399474
6,"2",0.0596499402865772
12,"1",0.0932369516599236
11,"2",0.0115286704056981
32,"2",0.0655595341447533
16,"1",0.102625802488377
7,"2",0.0155532779662259
20,"2",-0.14590044746815
7,"2",-0.0232300158954635
11,"2",0.101198353033734
15,"1",0.0750764358146907
16,"2",0.110035536372076
22,"1",0.241822594072675
22,"1",0.134721965957336
21,"2",0.0540446648867718
1,"1",0.240039696000268
0,"5",1.045
0,"4",0.493914580573631
8,"2",0.120167708378315
2,"1",-0.0773055633944629
13,"2",0.114854548929328
4,"1",-0.139823154201998
11,"1",-0.144696939087365
2,"2",0.118522201472561
20,"1",0.140556385699745
11,"1",0.406751744545766
2,"1",0.176015104620376
11,"2",-0.0341847901557788
14,"1",0.0330742070846496
7,"2",0.256209874890332
10,"2",-0.0416720853095589
4,"2",-0.046380951077186
28,"1",0.113911984149622
24,"2",0.120635740555278
5,"1",-0.160591013709393
26,"2",-0.162597265394081
22,"1",0.126078760467968
21,"2",-0.100516741480945
26,"2",0.191882304415323
11,"2",0.0610108321320461
30,"1",0.0528337881217846
12,"1",0.0158745455216
9,"2",0.255841464222676
28,"2",0.0818717717730192
9,"2",0.204355209373819
7,"1",0.211157869129462
34,"1",0.143080559997184
4,"2",-0.0123203671226486
9,"1",0.250236718277194
6,"1",0.100161668697082
16,"2",-0.167408246116084
-2,"2",-0.0821779474137882
-2,"2",0.118717075193989
3,"2",0.217849531744043
6,"1",0.102074900288083
5,"2",0.185661565277094
10,"1",-0.20549575087018
9,"2",-0.381771020613358
6,"1",0.136813670151713
9,"2",0.0296039928107185
1,"2",0.179759461679663
16,"2",0.0187945157313866
12,"1",0
10,"1",0.0178017248729078
33,"2",0.0483467163661594
4,"2",0.320829769839073
9,"2",0.0325682986520493
12,"2",-0.0561262829616336
13,"2",0.23444709140013
6,"1",0.313785816221094
16,"2",0.135109067443218
19,"1",0.0202804566941122
11,"1",0.0201422410095739
8,"2",0.142271992320771
22,"2",0.0687089175425529
15,"2",-0.106949416179386
9,"2",0.113937108111875
2,"1",0.160102995523564
4,"1",0.0755928946018454
7,"2",0.0741041570457141
16,"2",0.168841324641428
8,"2",0.333220483189492
8,"1",0.488160024552299
3,"1",0.0138792160854236
5,"1",-0.0604570836838981
29,"1",-0.0730444086790825
2,"2",-0.367896832553193
7,"2",-0.0600199726006595
5,"1",0.0680764175031299
6,"2",0.301791060688313
14,"1",0.0796814902776402
6,"1",0.0385450012224363
2,"1",-0.0945887177247738
29,"1",0.28727087484308
6,"2",0.00351866093997427
12,"1",-0.0619324918891238
8,"1",0.194282158814001
10,"2",0.079438828114976
11,"2",0.140993391182543
17,"1",0.316029042497612
20,"1",0.017208921013885
17,"2",0.077408773450459
16,"2",0.147812726673701
0,"5",0.0908732953441908
0,"4",0.156524758424985
6,"2",0.493388635211112
6,"1",0.159900537266708
8,"1",0.109108945117996
9,"2",-0.17040269243632
9,"2",-0.110264865149378
9,"1",0.188282596836797
14,"2",0.139971054295097
0,"5",0.269793007455063
0,"4",0.0643097507054956
0,"5",0
0,"4",0
0,"5",0
0,"4",0
12,"1",-0.0210818510677892
8,"2",0.0616646964050883
2,"1",0.147649541536357
16,"2",0.0630380944605956
4,"2",-0.0484217850909269
8,"2",0.137223158667215
17,"2",0.0722445489136713
4,"1",0.297500552623179
11,"1",0.102512322664175
42,"1",0.112674648208085
4,"1",-0.162347117567892
10,"2",-0.305089815352713
2,"2",-0.0726251175884191
1,"1",0.0231455024943138
8,"2",-0.0243168804337221
6,"2",0.797541845518243
33,"2",0.133863794245043
13,"2",0.00990380637656298
6,"2",0.265213528459511
18,"1",0.0312015395150216
3,"1",0.2159038329867
5,"1",0.0339927259731693
10,"1",0.0643097507054956
9,"1",-0.019194571813654
8,"2",0.0619562163631165
11,"1",-0.234939140640988
21,"1",0.144648956040385
17,"1",0.132777204345297
5,"1",0.109174489481419
8,"1",0.246119112959677
4,"1",0.022200026727991
5,"2",0.0859934257609393
9,"2",0.227638384161153
21,"2",-0.130791355883877
1,"2",-0.239432405242009
7,"1",0.2141833896016
5,"2",0.0434859826931158
6,"1",0.0891131780329876
14,"1",-0.0417232369370366
17,"1",0.479617543620908
4,"2",0.290216675249872
24,"2",-0.0237479492965459
17,"2",0.566085592954568
1,"2",0.1990880006127
15,"2",0.123824490982322
6,"1",0.0148204667487111
9,"2",0.171082392635101
3,"2",-0.24874841644275
2,"2",0.0190841855872916
3,"1",0.123573592316018
8,"1",-0.0533578375079933
26,"1",0.104465450325003
11,"1",-0.0413689310058699
15,"2",-0.00462417872997688
5,"2",-0.0130650591005666
4,"2",0.00313001586976096
23,"2",0.315746397542765
7,"2",0.102883251724761
10,"2",0.000319243660688052
4,"1",0.0595998413114133
2,"1",0.241959128716373
1,"2",-0.344167152856115
5,"2",0.010389600837632
31,"1",-0.227764823799487
18,"2",0.0607053656971966
6,"1",0.000527050579587518
1,"2",0.34607183018507
20,"2",0.198660721928567
13,"1",0.153093108923949
4,"2",0.0553925849294645
9,"2",0.0661868698465642
9,"2",0.127663154265431
24,"2",0.0834329170944941
4,"1",0.0460358658396953
9,"1",0.268117379785643
3,"2",-0.0550919398813215
4,"1",0.00917028578832293
4,"2",0.465640728042413
11,"2",0.0623060562609706
9,"2",-0.176808670232804
21,"2",0.168035725625165
32,"1",-0.129735720998355
9,"2",0.265674929786067
4,"2",0.227025330626898
27,"2",-0.1613789349836
3,"1",0.0355174748215461
9,"2",0.165629697331975
2,"2",0.0721436802197375
11,"1",0.136421582460817
13,"1",0.202510621596065
12,"2",0.135084040767726
9,"2",0.252543490959268
11,"1",-0.0232017993357019
0,"5",0
0,"4",0.375277674973257
3,"2",0.278348279667908
2,"1",-0.440126658513468
1,"2",0.214218609071334
1,"1",-0.301561244975592
3,"2",0.0201451533006218
1,"2",-0.218797487246842
8,"2",0.226805361586997
3,"2",0.249187585470474
7,"2",0.336380797335886
7,"2",0.0174051421525388
16,"2",0.199806568836155
1,"1",-0.516170670987282
3,"1",0.186105157340483
3,"2",0.170719906398942
0,"1",-0.061030773418931
4,"1",-0.161248731440915
14,"1",0.292721973630532
3,"2",-0.00697870411663391
1,"2",0.308718795233563
3,"1",-0.0348891318284689
2,"2",0.0940235759697713
3,"2",0.0993215967025495
5,"2",0.135262876119445
8,"2",0.0692222115046267
2,"2",-0.0500109456014406
1,"1",0.043594695472487
13,"2",0.0903041389370613
6,"1",-0.0186085212802266
11,"2",0.148067897508971
19,"2",-0.00664507785766318
12,"1",0.168778693696207
5,"1",0
4,"1",0.300222827344231
6,"2",-0.078086880944303
2,"2",0.12946798248162
2,"1",0.0834963161004834
7,"1",-0.0243770325507206
8,"1",0.114979755026644
5,"2",0.235804170001081
4,"2",-0.136346854958821
27,"1",-0.0595621751032071
27,"2",0.00234474294420004
9,"2",-0.00647067988738185
8,"1",0.228641323120718
1,"2",0.185384819778647
19,"1",-0.0577588927776439
53,"1",0.0342997170285018
41,"2",0.293554743577897
41,"2",0.0217786251018813
12,"1",0.251750346123397
15,"2",-0.161202924075845
0,"2",0.0881210368319188
3,"1",-0.0439246954260963
31,"2",0.167173806895884
17,"2",0.00562604134836896
2,"2",0.158777317029369
10,"2",-0.0180332132886334
3,"2",0.305376246281908
9,"2",-0.107251867643345
12,"2",0.0340655933261601
3,"2",-0.273111205879195
16,"2",0.0352120454596712
28,"2",-0.0178213964557615
20,"1",0.0741180998530624
2,"2",0.0855645140492254
11,"2",0.145990126971836
13,"2",0.0217274489339576
6,"2",-0.0164277299988549
-1,"2",0.0183029330681938
14,"1",-0.0800307117985728
17,"2",0.00134440290634276
2,"1",0.188561808316413
4,"2",0.0535783351040922
2,"2",0.0598983916357991
3,"1",0.126213526033717
7,"1",0.185450454627085
38,"1",0.472979202347148
4,"2",0.265368273851396
4,"2",-0.0258929366882315
4,"1",0.175374386095884
34,"1",-0.0249777072274366
3,"2",0.106904208780587
24,"2",0.178596689510148
43,"2",0.100133011858966
7,"1",-0.32691742076555
27,"2",0.157671430474535
24,"1",0.242086853222635
22,"1",0.316650418872938
17,"2",-0.0198707939249372
3,"1",-0.03065519018003
15,"1",0.166475218827682
16,"1",0.265062697640286
13,"2",-0.0402048539826304
4,"2",-0.0122428308832762
7,"2",0.156753407516933
10,"1",0.142978387077749
11,"1",-0.0574076534540759
1,"2",0.273605527063753
8,"2",0.079537197598104
1,"2",-0.0660444700741267
5,"1",0.108317073703954
12,"1",0.131797095571828
9,"2",0.0194396788409022
1,"1",0.317001938699772
4,"1",0.0639605764596379
13,"2",0.0828708741487819
5,"2",0.393350409304583
2,"1",0.0248746914860332
23,"1",0.207832732135598
13,"1",0.195366301054663
0,"2",0.206624583257964
11,"2",0.356788524693323
2,"2",0.328189985179562
1,"2",0.042176430714279
6,"2",0.344342318726913
0,"2",-0.194525589009616
7,"1",-0.10402945090679
0,"5",0.161445567838278
0,"4",0.0267261241912424
0,"5",0.267252115271095
0,"4",-0.176776695296637
7,"2",0.0300959527699468
4,"2",0.0832637982499549
11,"1",-0.0272767618886559
6,"2",0.124295858473344
13,"1",0.115937424246017
14,"1",0.246232905665904
8,"2",-0.0577972051242671
5,"2",0.02190794337689
10,"1",0.0984387224587601
7,"1",0.0662233545410454
21,"1",0.30968610593596
3,"1",0.045834395793167
0,"2",0.134417026725785
4,"1",0.122161481617834
11,"1",0.0797863228872742
11,"2",0.127278478010694
7,"2",-0.319874680143151
1,"2",-0.185346623325797
16,"1",-0.0803174505144608
4,"2",-0.143362961232828
6,"2",0.129145669039662
10,"2",0.215488941783643
6,"2",0.329181423037267
6,"1",-0.0873669860923884
4,"2",0.223730870538114
18,"2",0.167526342941691
16,"2",0.299035524074715
20,"1",-0.0874212169466157
4,"2",0.0999609251893887
13,"2",-0.0679591795922866
1,"1",-0.0814864447455775
5,"2",0.0222443734271647
2,"1",0.267908338392296
2,"2",0.135601702916159
4,"1",0.326364253887836
5,"2",0.00268908162646876
1,"2",0.102364579689384
2,"2",0.127441833404303
0,"2",-0.130136472061524
1,"2",0.114701307718858
1,"2",0.13463173157027
8,"2",0.076920270622239
5,"1",0.00520649283102369
26,"1",0.213911008826901
13,"1",0.0779414450741738
2,"1",0.348393652633041
8,"2",0.139955825202417
4,"2",0.0626691325668018
2,"2",-0.0429086888875141
4,"1",0.0615023097405718
2,"1",0.222213875670622
3,"2",0.0484946761901177
25,"2",0.214266861643948
6,"2",0.047256604382287
9,"2",0.240695194130564
4,"2",0.137895928242996
3,"1",0.0258487118346193
4,"1",0.207102707441902
4,"2",0.186295888758911
1,"1",0.224701516494995
15,"1",0.111724003781683
4,"2",0.330416806629694
2,"1",0.0562028919390775
4,"2",-0.170860575763525
-1,"2",0.198029346710255
3,"2",0.237627760131462
10,"1",0.0217276826609901
1,"2",0.25698176381916
9,"2",0.0397269484295659
7,"2",-0.0328434823775547
9,"2",-0.183632640826999
1,"2",-0.245026710066811
1,"1",-0.0399884192407144
1,"1",0.181359534472783
23,"1",0.140885069604463
20,"2",-0.146922315256856
7,"2",0.117509897605696
3,"2",0.0364293592894018
1,"1",-0.0320266340712512
5,"2",0.039525615117139
1,"2",0.0730517868925759
20,"1",-0.131805405907715
14,"2",0.134306749901571
0,"5",0
0,"4",0.119630842434292
4,"1",-0.272693584552625
1,"2",0.0286315881695837
2,"2",-0.153495954291044
3,"1",0.222754217947233
2,"1",0.0179605302026775
18,"1",-0.0447213595499958
12,"2",0.138587035688095
13,"1",0.0127716787733064
16,"2",0.0747212119046624
11,"2",0.125974417708763
7,"2",0.0549125178386915
3,"2",-0.0721571680481255
1,"2",0.0621631143696002
16,"1",0.261782167053756
13,"2",0.353627039878646
3,"1",-0.28735682856714
3,"2",-0.0901935186539344
0,"2",-0.0814366300148841
2,"2",0.184633768917099
5,"2",0.372647239693175
21,"1",0.0272710038216991
6,"2",-0.0956072865485081
15,"2",0.18899707706528
11,"1",-0.251064845528743
12,"2",-0.258188306774362
13,"1",0.096400148679758
17,"2",0.115070869937934
4,"1",0.117404236428752
1,"2",-0.0442656737976933
9,"1",-0.0171666512786929
2,"2",-0.1166178515706
1,"2",-0.0693022027577056
3,"2",0.178053208676128
10,"1",0.297785878811927
3,"2",0.186542826946143
2,"2",-0.165454413274763
1,"2",0.195388661124787
4,"2",-0.0584179665087919
1,"1",0.255199899160615
7,"2",-0.00585962892086385
1,"2",0.242070007579806
4,"1",0.183445258367284
0,"2",0.011841709422089
2,"2",-0.213507636892929
3,"2",-0.416025961428922
2,"2",0.193258375620594
10,"1",-0.0445080195601434
5,"1",0.115587841438041
5,"2",0.119092164137119
3,"2",0.0393683693230315
8,"2",0.198700445746586
6,"1",0.255256200890883
7,"1",0.0181688100837948
15,"2",0.0256198665321934
1,"2",-0.0112989703119435
4,"2",0.377264813511139
2,"2",0.231406724692991
1,"2",-0.108321015482114
-3,"2",0.010035111589234
5,"1",0.147237920328538
2,"2",0.131624495222999
3,"1",-0.0451608124842172
2,"2",-0.0510830587532499
6,"1",-0.0571894477548279
11,"1",0.0704888995604294
5,"2",0.142543008709424
2,"2",0.199967972300952
5,"1",0.0129099444873581
8,"1",0.175394753214278
3,"1",0.0937931010236243
